Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min
Ana,All,3.60,"8.66","49.73",8.45,3.83,65,2357,7648,6.66
Ana,Bronze,3.35,"8.09","46.03",7.88,3.85,65,2269,7363,6.96
Ana,Silver,3.42,"6.00","46.19",8.13,3.80,65,2314,7443,6.94
Ana,Gold,3.59,"8.40","49.40",8.39,3.90,65,2327,7710,6.75
Ana,Platinum,3.49,"6.59","46.78",8.08,3.96,67,2238,7734,6.87
Ana,Diamond,3.42,"6.35","44.58",7.93,3.86,67,2246,7666,6.95
Ana,Master,3.37,"6.21","44.10",7.83,3.79,66,2236,7633,7.00
Ana,Grandmaster,3.37,"5.57","42.50",7.87,3.88,66,2237,7560,7.03
Mercy,All,3.31,"9.14","51.00",1.82,0.81,55,289,8833,7.28
Mercy,Bronze,2.98,"7.14","44.11",1.77,0.88,59,288,8907,7.55
Mercy,Silver,3.17,"6.93","46.14",1.94,0.92,59,318,8864,7.44
Mercy,Gold,3.17,"6.61","45.94",1.90,0.84,56,287,8914,7.42
Mercy,Platinum,3.22,"7.44","47.41",1.77,0.83,58,288,9032,7.38
Mercy,Diamond,3.16,"12.88","50.08",1.78,0.82,59,292,8986,7.37
Mercy,Master,3.17,"14.62","49.77",1.75,0.80,58,296,9014,7.35
Mercy,Grandmaster,3.07,"8.38","44.24",1.83,0.88,60,298,8999,7.49
Kiriko,All,4.51,"6.92","50.11",7.59,3.50,73,2144,8244,6.44
Kiriko,Bronze,4.26,"6.22","47.67",7.08,3.52,73,2027,7721,6.89
Kiriko,Silver,4.38,"6.58","46.77",7.18,3.45,75,2057,7997,6.65
Kiriko,Gold,4.53,"7.34","49.76",7.51,3.44,71,2095,8217,6.46
Kiriko,Platinum,4.50,"6.38","50.18",7.22,3.36,72,2026,7982,6.64
Kiriko,Diamond,4.45,"5.42","46.44",7.09,3.35,72,2007,8020,6.63
Kiriko,Master,4.31,"5.52","46.06",6.94,3.30,71,1977,7966,6.73
Kiriko,Grandmaster,4.35,"5.90","45.98",6.97,3.36,72,1976,7853,6.78
Genji,All,2.38,"3.92","55.82",17.74,5.57,65,7132,,8.43
Genji,Bronze,2.14,"1.74","50.13",15.94,5.50,67,6714,,8.72
Genji,Silver,2.21,"1.83","56.96",16.52,5.48,68,6942,,8.55
Genji,Gold,2.28,"4.59","56.05",16.92,5.64,64,6914,,8.59
Genji,Platinum,2.24,"3.18","53.98",16.92,5.52,65,7000,,8.68
Genji,Diamond,2.23,"2.31","54.49",16.91,5.46,65,7014,,8.66
Genji,Master,2.19,"2.82","52.62",16.22,5.47,66,6880,,8.62
Genji,Grandmaster,2.14,"1.89","52.59",16.02,5.49,66,6802,,8.74
Cassidy,All,2.48,"2.49","49.91",18.26,7.08,57,7847,,8.51
Cassidy,Bronze,2.35,"1.07","37.43",17.08,7.07,64,7515,,9.20
Cassidy,Silver,2.28,"1.44","40.30",16.99,6.89,60,7297,,9.18
Cassidy,Gold,2.44,"2.83","48.56",18.13,7.30,61,7751,,8.61
Cassidy,Platinum,2.49,"2.59","50.93",17.95,7.15,64,7806,,8.79
Cassidy,Diamond,2.47,"2.01","41.14",17.75,6.98,57,7777,,8.94
Cassidy,Master,2.48,"1.38","37.87",17.32,6.89,63,7676,,8.93
Cassidy,Grandmaster,2.37,"1.47","37.31",17.11,7.05,64,7486,,9.20
Moira,All,5.46,"9.94","52.02",17.19,8.31,86,4856,8750,6.70
Moira,Bronze,4.93,"13.89","49.09",16.07,7.88,87,4761,8428,7.02
Moira,Silver,5.16,"12.50","51.75",16.73,8.07,86,4773,8617,6.76
Moira,Gold,5.47,"12.49","52.44",16.91,8.22,88,4866,8849,6.65
Moira,Platinum,5.19,"11.75","51.90",16.51,7.94,88,4760,8778,6.78
Moira,Diamond,5.10,"13.07","51.17",16.31,7.84,87,4782,8694,6.80
Moira,Master,5.11,"13.85","51.38",16.32,7.84,87,4774,8715,6.80
Moira,Grandmaster,5.04,"15.43","50.99",16.19,7.83,88,4758,8649,6.84
Reinhardt,All,3.02,"2.51","53.45",16.28,6.69,131,7583,,7.20
Reinhardt,Bronze,2.63,"3.39","48.32",14.90,6.49,136,7098,,7.47
Reinhardt,Silver,2.78,"3.12","51.07",15.75,6.67,135,7362,,7.25
Reinhardt,Gold,3.12,"2.96","51.96",16.09,6.78,133,7506,,7.16
Reinhardt,Platinum,2.80,"4.55","52.68",15.51,6.55,133,7452,,7.30
Reinhardt,Diamond,2.67,"3.47","49.02",14.98,6.42,136,7228,,7.40
Reinhardt,Master,2.70,"3.61","49.33",15.05,6.51,136,7221,,7.35
Reinhardt,Grandmaster,2.70,"4.29","49.20",15.07,6.54,136,7214,,7.36
Widowmaker,All,2.89,"1.11","52.38",16.19,3.84,23,5689,,7.80
Widowmaker,Bronze,3.20,"0.57","51.34",16.07,4.10,22,5328,,7.39
Widowmaker,Silver,2.92,"0.85","53.30",15.70,4.25,24,5462,,7.52
Widowmaker,Gold,2.91,"0.83","48.55",16.47,3.94,23,5551,,7.96
Widowmaker,Platinum,2.83,"1.11","52.65",16.02,4.03,22,5496,,7.89
Widowmaker,Diamond,2.87,"1.36","53.05",16.38,4.12,21,5510,,7.85
Widowmaker,Master,3.07,"0.77","52.48",16.33,4.25,21,5435,,7.66
Widowmaker,Grandmaster,3.00,"0.73","51.11",16.13,4.31,22,5315,,7.68
Lucio,All,3.70,"5.76","51.75",11.91,5.88,111,3254,8174,7.67
Lucio,Bronze,3.27,"6.86","45.11",11.32,5.81,109,3117,8344,8.14
Lucio,Silver,3.45,"5.81","49.85",11.66,5.82,113,3213,8373,7.83
Lucio,Gold,3.78,"6.29","50.09",11.99,6.01,109,3242,8308,7.75
Lucio,Platinum,3.40,"5.78","47.75",11.66,5.93,109,3191,8220,7.94
Lucio,Diamond,3.50,"5.84","45.85",11.71,5.86,107,3193,8228,7.90
Lucio,Master,3.41,"8.21","48.48",11.68,5.87,108,3191,8255,7.97
Lucio,Grandmaster,3.38,"6.92","45.46",11.58,5.89,108,3167,8353,8.02
Soldier: 76,All,2.59,"4.91","50.51",18.14,7.42,59,8488,1469,8.93
Soldier: 76,Bronze,2.45,"4.81","45.57",16.96,7.37,63,8015,1499,9.24
Soldier: 76,Silver,2.45,"2.86","42.55",17.26,7.35,60,8131,1504,9.26
Soldier: 76,Gold,2.54,"4.47","47.91",17.86,7.53,63,8325,1455,9.11
Soldier: 76,Platinum,2.56,"3.54","47.10",17.47,7.39,61,8142,1494,9.02
Soldier: 76,Diamond,2.54,"4.11","47.94",17.29,7.39,62,8129,1490,9.16
Soldier: 76,Master,2.50,"3.59","48.77",17.02,7.41,63,8040,1489,9.17
Soldier: 76,Grandmaster,2.47,"2.97","40.97",16.93,7.41,63,7966,1497,9.28
Hanzo,All,2.94,"2.24","52.41",16.94,6.48,51,7548,,8.12
Hanzo,Bronze,2.65,"0.99","40.52",15.74,6.31,53,7016,,8.44
Hanzo,Silver,2.82,"1.60","50.43",16.50,7.03,54,7430,,8.13
Hanzo,Gold,2.86,"2.76","51.66",16.49,6.17,51,7304,,8.26
Hanzo,Platinum,2.79,"1.53","45.95",16.33,6.49,53,7319,,8.34
Hanzo,Diamond,2.99,"1.71","48.16",16.79,6.67,52,7382,,8.16
Hanzo,Master,2.74,"1.18","42.95",16.22,6.49,53,7277,,8.37
Hanzo,Grandmaster,2.74,"1.28","42.42",16.06,6.55,53,7161,,8.35
Zenyatta,All,4.47,"3.30","51.42",12.49,5.44,68,4327,6178,7.71
Zenyatta,Bronze,4.18,"3.76","50.35",12.20,5.46,66,4173,6026,8.06
Zenyatta,Silver,4.18,"2.61","44.61",12.25,5.26,68,4263,6081,8.19
Zenyatta,Gold,4.33,"2.67","45.29",12.28,5.47,71,4202,6124,7.89
Zenyatta,Platinum,4.10,"2.14","41.99",12.01,5.43,68,4214,6117,8.14
Zenyatta,Diamond,4.07,"2.52","43.12",11.97,5.26,70,4179,6026,8.18
Zenyatta,Master,4.13,"2.76","42.98",12.07,5.26,69,4149,6089,8.16
Zenyatta,Grandmaster,4.02,"2.21","36.98",11.96,5.32,69,4133,6028,8.31
D.Va,All,5.58,"2.96","51.90",19.80,6.07,124,8008,,6.14
D.Va,Bronze,5.27,"4.26","49.59",18.53,5.68,122,7572,,6.34
D.Va,Silver,5.38,"3.94","50.68",18.86,5.89,121,7789,,6.22
D.Va,Gold,5.67,"3.29","51.48",19.58,5.94,123,7872,,6.24
D.Va,Platinum,5.53,"5.17","52.86",18.83,5.70,122,7650,,6.23
D.Va,Diamond,5.47,"5.11","52.64",18.81,5.57,120,7726,,6.22
D.Va,Master,5.44,"5.46","51.32",18.61,5.57,121,7660,,6.24
D.Va,Grandmaster,5.42,"5.63","51.26",18.50,5.60,121,7596,,6.29
Roadhog,All,3.74,"1.80","47.47",18.22,8.28,121,7939,,6.74
Roadhog,Bronze,3.67,"2.11","42.41",17.44,8.21,128,7605,,6.71
Roadhog,Silver,3.65,"2.27","45.73",17.36,8.24,131,7690,,6.61
